AGCWP;Biomass
1,678106688;11,58104541
1,864690929;11,82920962
1,870414193;11,96555796
2,095070577;12,07725674
2,205525169;12,60637317
2,193376042;11,94865164
2,291944983;11,96443087
2,269549604;11,69176348
2,340687865;11,67553049
2,494308451;11,85961172
2,735388113;11,97126658
2,591560016;11,15346933
2,2417969;11,48328153
1,907915473;11,51625983
2,241182125;11,14638478
2,410669763;11,02561075
2,514522842;10,93709777
2,634696735;10,79239143
2,798988061;10,82403771
3,243177704;11,23996233
3,033861422;10,53463965
2,595307217;10,20693525
2,45229882;9,838333667
2,496064951;9,822173864
2,599786292;9,661468727
2,636980186;9,043722219
2,704502984;10,04621547
2,666182003;10,04631794
3,108732246;9,563851224
3,080028104;8,833981449
3,430596283;8,945343567
3,551180027;9,025235054
3,595253546;9,177523627
3,928769035;8,944011554
4,23476602;8,630359156
4,35038765;8,991012574
4,219455192;9,240025762
3,831122257;9,433577454
3,415636756;9,747522603
3,312969315;10,48576503
3,132064425;10,3498851
3,400779691;10,6058511
3,482178841;10,21258532
3,641976453;10,78167677
3,838250721;10,33997551
4,030221563;10,53999697
4,166818734;10,39524672
3,771591536;9,810741975
3,908437544;9,802354686
3,89726913;9,682063693
5,249525501;9,718554986
